post_id,status,title,url,old_categories,old_tags,old_category_actions,suggested_new_primary_category,suggested_new_subcategory,suggested_new_category_path,action,notes,manual_review_reasons
218,publish,JPMorgan Chase Expands Crypto Trading Services to All Clients,https://tokentopnews.com/jpmorgan-chase-expands-crypto-trading-services-to-all-clients/,Cryptocurrency News,Bitcoin (BTC) | cryptocurrency | Ethereum | Grayscale’s Bitcoin Trust | JPMorgan,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
133,publish,Major Strip Club in Las Vegas Crazy Horse 3 Accepts Bitcoin as Payment,https://tokentopnews.com/major-strip-club-in-las-vegas-crazy-horse-3-accepts-bitcoin-as-payment/,Cryptocurrency News,Bitcoin (BTC) | blockchain | Crazy Horse 3 | Las Vegas | Lightning Network service | OpenNod,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
29535,publish,March Bitcoin Technology Update: Mempool Progress and BIP-360,https://tokentopnews.com/march-bitcoin-technology-update-mempool-progress-bip-360/,Bitcoin,,Convert asset category to tag,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
138,publish,"PayPal Increases Weekly Limits for Crypto Purchases to $100,000",https://tokentopnews.com/paypal-increases-weekly-limits-for-crypto-purchases-to-100000/,Cryptocurrency News,Bitcoin (BTC) | Bitcoin Cash(BCH) | Cryptocurrencies | cryptocurrency | Ethereum (ETH) | Litecoin(LTC) | PayPal,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
28773,publish,"Polymarket Leans Toward Bitcoin Hitting $80,000 Before $60,000",https://tokentopnews.com/polymarket-bitcoin-80000-before-60000-odds/,Bitcoin,,Convert asset category to tag,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
28750,publish,"Reported 1,183.72 BTC Binance Inflows Put Bitcoin Traders on Alert",https://tokentopnews.com/reported-bitcoin-binance-inflows-sell-pressure/,Bitcoin,,Convert asset category to tag,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
719,publish,Republican senator proposes the use of flare gas energy to mine Bitcoin,https://tokentopnews.com/republican-senator-proposes-the-use-of-flare-gas-energy-to-mine-bitcoin/,Cryptocurrency News,Bitcoin (BTC) | Bitcoin Mining | blockchain | Texas,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
117,publish,Visa Approves Australian Startup CryptoSpend to Issue Debit Cards in Cryptos,https://tokentopnews.com/visa-approves-australian-startup-cryptospend-to-issue-debit-cards-in-cryptos/,Cryptocurrency News,AUSTRALIA | Bitcoin Cash(BCH) | Bitcoin(BTC) | Cryptocurrencies | CryptoSpend | Ethereum(ETH) | Litecoin(LTC) | Ripple(XRP) | Visa,Reclassify,narratives,bitcoin-cycle,narratives/bitcoin-cycle,Reclassify,Bitcoin asset fallback,fallback-rule
2882,publish,$200 Million Liquidated from Crypto Market in 60 Minutes,https://tokentopnews.com/200m-liquidated-crypto-high-leverage/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
21023,publish,"14-Year Dormant Bitcoin Wallet Activates, Moves $16.6 Million",https://tokentopnews.com/dormant-bitcoin-wallet-activates-16-million-move/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4419,publish,1Confirmation Founder Highlights Hype Success Correlation,https://tokentopnews.com/hype-success-correlation-crypto-investments/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4275,publish,"3,520 BTC Theft Leads to 50% Surge in Monero Price",https://tokentopnews.com/bitcoin-theft-causes-monero-surge/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
10818,publish,"A16z Moves 100,000 COMP to Coinbase Prime",https://tokentopnews.com/a16z-moves-comp-coinbase-prime/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3407,publish,"ABCDE Halts New Investments, Suspends Fund II Raising",https://tokentopnews.com/abcde-halts-investments-fundraising-strategic-shift/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
23631,publish,"ADP Reports Stabilizing Layoffs, Modest Jobs Growth",https://tokentopnews.com/adp-weekly-layoff-report-october/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
11446,publish,AIN Perpetual Contract Not Yet Listed on Gate.io,https://tokentopnews.com/ain-perpetual-contract-not-listed-gateio/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3335,publish,All Stolen KiloEx Assets Fully Recovered,https://tokentopnews.com/kiloex-recovery-stolen-assets-security/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4021,publish,ALPACA Surges 175% Ahead of Binance Delisting,https://tokentopnews.com/alpaca-price-surges-binance-delist/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2955,publish,Amazon Halts Chinese Orders Amid U.S. Tariff Pressure,https://tokentopnews.com/amazon-cancels-china-orders-tariffs/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3017,publish,Amazon Warns of Impending Price Increases Amid Tariff Pressures,https://tokentopnews.com/amazon-price-increases-tariffs-impact/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
12652,publish,AmoyDx Medical: No IVDD Stablecoin or Exchange Launched,https://tokentopnews.com/amoydx-medical-no-stablecoin-launched/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3708,publish,Analog Secures $15M to Enhance Blockchain Liquidity,https://tokentopnews.com/analog-raises-15m-blockchain-liquidity/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3874,publish,Anonymous Labs Unconfirmed in Bloodbath Gang Blockchain Game,https://tokentopnews.com/anonymous-labs-bloodbath-gang-blockchain-claims/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2909,publish,Apple Flies iPhones to U.S. to Circumvent Tariffs,https://tokentopnews.com/apple-imports-iphones-avoiding-tariffs/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
8439,publish,Arca Sells Circle Holdings Due to IPO Allocation Dispute,https://tokentopnews.com/arca-exits-circle-ipo-allocation-dispute/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3692,publish,Arch Labs Raises $13M to Enhance Bitcoin Functionality,https://tokentopnews.com/arch-labs-13m-bitcoin-smart-contract/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2735,publish,Argentina Seeks U.S. Trade Deal to Reduce Tariffs,https://tokentopnews.com/argentina-us-trade-deal-tariffs/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
14353,publish,Arthur Hayes Reverses Ethereum Trade After Market Rally,https://tokentopnews.com/arthur-hayes-ethereum-trade-reversal/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5235,publish,"Aster Pro Trading Challenge Offers $50,000 Prize Pool",https://tokentopnews.com/aster-pro-trading-challenge-prize/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
18092,publish,Aster Surpasses Circle in Daily Revenue Milestone,https://tokentopnews.com/aster-surpasses-circle-daily-revenue/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
960,publish,Australian regulator ASIC on the hunt for crypto pump and dump schemes,https://tokentopnews.com/australian-regulator-asic-on-the-hunt-for-crypto-pump-and-dump-schemes/,Cryptocurrency News,ASIC | AUSTRALIA | Cryptocurrencies | FOMO | token,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
11275,publish,Backpack Exchange Offers Double Loyalty Points to Users,https://tokentopnews.com/backpack-exchange-double-loyalty-points-offer/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
15560,publish,BAND Protocol Jumps 47% Amid Ecosystem Expansion,https://tokentopnews.com/band-protocol-surges-upgrades-partnerships/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
6326,publish,Believe Token Trading Volume Surpasses $2.1 Billion,https://tokentopnews.com/believe-token-trading-volume-growth/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2271,publish,Beribit: Crypto exchange gives customers chocolate bars instead of money,https://tokentopnews.com/beribit-chocolate-bars-instead-of-money/,Cryptocurrency News,Crypto Exchange,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3341,publish,BIGTIME Token Surges After Circulating Supply Adjustment,https://tokentopnews.com/bigtime-token-surges-circulating-supply-adjustment/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
7789,publish,Binance Academy Partners with Pakistan's Ministry for Blockchain Education,https://tokentopnews.com/binance-academy-pakistan-partnership-blockchain-education/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4486,publish,Binance Alpha Lists B2 Token for Early Access Trading,https://tokentopnews.com/binance-alpha-lists-b2-token/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3255,publish,Binance Alpha Lists DARK Token with Notable Price Surge,https://tokentopnews.com/binance-alpha-lists-dark-token/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
11901,publish,Binance Alpha Sets New TGE Participation Threshold at 200 Points,https://tokentopnews.com/binance-alpha-200-point-threshold-boom-tge/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
10273,publish,Binance Conversion Feature: Fixed Rate to Flexible Savings,https://tokentopnews.com/binance-fixed-rate-to-flexible-savings/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
21035,publish,Binance Launches Common Token on Alpha and Futures,https://tokentopnews.com/binance-common-token-alpha-futures-launch/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3536,publish,Binance Lists ACH/USDC and GMT/USDC Trading Pairs,https://tokentopnews.com/binance-ach-usdc-gmt-usdc-listing/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
10919,publish,"Binance Lists New USDC Trading Pairs LPT, RVN",https://tokentopnews.com/binance-usdc-trading-pairs-lpt-rvn/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
12734,publish,Binance Refunds Excess Gas Fees During Bonding Curve Event,https://tokentopnews.com/binance-refunds-extra-gas-fees-tge/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
19184,publish,Binance Resolves Wallet Balance Anomaly Issue,https://tokentopnews.com/binance-resolves-wallet-balance-anomaly-issue/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5502,publish,Binance Suspends XEC Transactions for Scheduled Network Upgrade,https://tokentopnews.com/binance-halts-xec-transactions-upgrade/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5356,publish,Binance to Delist Three Trading Pairs in May 2025,https://tokentopnews.com/binance-delist-three-trading-pairs-2025/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
28968,publish,Binance to Support DAI Token Swap and Rebranding to USDS,https://tokentopnews.com/binance-support-dai-usds-token-swap-rebranding/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4524,publish,Binance Unveils Alpha Points Promotion for BSC Token Trading,https://tokentopnews.com/binance-alpha-points-promotion-bsc-trading/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4619,publish,Binance Wallet Supports SUI Exchange in Major Upgrade,https://tokentopnews.com/binance-wallet-sui-exchange-support/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
12757,publish,Binance Warns Users of Fake Trusta.AI Phishing Links,https://tokentopnews.com/binance-phishing-warning-trusta-ai-fake-links/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
13633,publish,Binance's Alleged C2C Reimbursement Guarantee Unconfirmed,https://tokentopnews.com/binance-c2c-reimbursement-guarantee-unconfirmed/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5379,publish,Binance's CZ Suggests Reducing BSC Gas Fees by 3x-10x,https://tokentopnews.com/cz-proposes-lowering-bsc-gas-fees/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
24659,publish,Binance's Zhao Advocates Bitcoin Holding Strategy,https://tokentopnews.com/binance-zhao-bitcoin-holding-strategy/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
17568,publish,BIO Protocol Price Surge Follows New Financing News,https://tokentopnews.com/bio-protocol-price-surge-financing-news/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
15807,publish,Bio Protocol's Aubrai Launch Surpasses Subscription Limits,https://tokentopnews.com/bio-protocol-aubrai-launch-oversubscribed/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5348,publish,bit com Launches Community Event Reward of 3000 USDT,https://tokentopnews.com/bit-com-community-reward-event-3000-usdt/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
121,publish,BIT Mining Limited Raises $50M through Private Placement to expand its Mining Business Abroad,https://tokentopnews.com/bit-mining-limited-raises-50m-through-private-placement-to-expand-its-mining-business-abroad/,Cryptocurrency News,BIT Mining Limited | cryptocurrency | IBC Group | Mining,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
6631,publish,Bitcoin Approaches Golden Cross Amid U.S. Debt Concerns,https://tokentopnews.com/bitcoin-golden-cross-us-debt-concerns/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2704,publish,Bitcoin Dips Amid U.S. Stock Market Turmoil and Global Trade Tensions,https://tokentopnews.com/bitcoin-dips-us-stock-market-turmoil/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2772,publish,"Bitcoin Dips Below $81,000 Amid Market Sell-Off",https://tokentopnews.com/bitcoin-price-falls-below-81000-market-impact/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2780,publish,"Bitcoin Drops Below $79,000 Amid Market Instability",https://tokentopnews.com/bitcoin-falls-under-79000-market-instability/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2876,publish,"Bitcoin Faces Resistance, Trades Below $80,000 in 2025",https://tokentopnews.com/bitcoin-under-80000-amid-resistance/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
27017,publish,Bitcoin Hash Rate Drops Amid Winter Storm in U.S.,https://tokentopnews.com/bitcoin-hash-rate-winter-storm-impact/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
13998,publish,Bitcoin Magazine Advocates Patience Amid Market Volatility,https://tokentopnews.com/bitcoin-magazine-emphasizes-long-term-holding/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
6937,publish,Bitcoin Magazine Appoints Aaron van Wirdum as Editor,https://tokentopnews.com/bitcoin-magazine-new-editor-impact/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
21832,publish,Bitcoin Magazine Celebrates Legacy in Crypto Education,https://tokentopnews.com/bitcoin-magazine-crypto-education-legacy/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
7280,publish,Bitcoin Magazine Issue 4: Scarce Early Edition Gains Attention,https://tokentopnews.com/bitcoin-magazine-issue-4-las-vegas/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
9532,publish,Bitcoin Mining Costs Rise Amid Record Hashrate,https://tokentopnews.com/bitcoin-mining-costs-hashrate-rise-2025/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3397,publish,Bitcoin Mining Difficulty Reaches All-Time High,https://tokentopnews.com/bitcoin-mining-difficulty-all-time-high/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
21729,publish,Bitcoin Price Milestones from Halloween History,https://tokentopnews.com/bitcoin-price-haloween-history/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2977,publish,Bitcoin Price Surges Amid Tesla's Stock Rally Following Tariff Pause,https://tokentopnews.com/bitcoin-price-surges-tesla-stock-rally-tariff-pause/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3152,publish,Bitcoin Pullback Viewed as Healthy Market Correction,https://tokentopnews.com/bitcoin-pullback-healthy-correction/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3170,publish,Bitcoin Risks Drop to $75K Amid Key Support Concerns,https://tokentopnews.com/bitcoin-price-risk-support-breakdown/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
2729,publish,Bitcoin Shows Resilience Amidst TikTok Sale Rejection by China,https://tokentopnews.com/bitcoin-resilience-tiktok-sale-rejection/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
26309,publish,Bitcoin Stabilizes as Supreme Court Weighs Tariff Ruling,https://tokentopnews.com/bitcoin-stabilizes-supreme-court-tariff-decision/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5546,publish,Bitcoin Surges Amid Global Economic Uncertainty: A Safe Haven or Speculative Bubble?,https://tokentopnews.com/bitcoin-surges-economic-uncertainty-2025/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5451,publish,Bitcoin Surges as EU Pauses Countermeasures Against US Tariffs,https://tokentopnews.com/bitcoin-surges-eu-pauses-us-tariffs/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3369,publish,Bitcoin Volatility Looms as 170K BTC Moves,https://tokentopnews.com/bitcoin-volatility-mid-term-holders-movement/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
5260,publish,Bitcoin Whale Addresses Surge Amid Market Fluctuations,https://tokentopnews.com/bitcoin-whale-addresses-increase-2025-market-trend/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3508,publish,"Bitcoin Whales Accumulate Over 200,000 BTC in March 2025",https://tokentopnews.com/bitcoin-whales-accumulate-200k-btc-march-2025/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3377,publish,"Bitcoin's 666,666th Block Features Embedded Message",https://tokentopnews.com/bitcoin-666666-block-embedded-message/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3194,publish,"Bitcoin, Binance Coin, Solana Surpass Major Corporations in Market Cap",https://tokentopnews.com/bitcoin-binance-coin-surpass-corporations/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
10925,publish,Bitget Enhances Onchain Trading with New Features,https://tokentopnews.com/bitget-onchain-trading-feature-upgrade/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3546,publish,Bitget Exchange Lists New Tokens Without Official Announcements,https://tokentopnews.com/bitget-new-tokens-broccoli-rrr-troll/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
4075,publish,Bitget Launches Pre-Market Trading for Sign (SIGN),https://tokentopnews.com/bitget-pre-market-trading-sign-introduction/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
6776,publish,Bitget Lists SOON Token for Trading,https://tokentopnews.com/bitget-soon-token-trading-2025/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
3522,publish,Bitget Restores Trading and Compensates Users Amid Controversy,https://tokentopnews.com/bitget-restores-trading-voxelusdt/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
16898,publish,Bitget Spot Trading Listing Rumor Lacks Official Confirmation,https://tokentopnews.com/bitget-open-art-listing-rumor/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
13623,publish,Bithumb Chainbase KRW Listing Unconfirmed by Official Sources,https://tokentopnews.com/bithumb-chainbase-krw-listing-unconfirmed/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
16354,publish,"Bithumb Lists WLFI/KRW Pair, Expands Market Access",https://tokentopnews.com/bithumb-lists-wlfi-krw-expansion/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
11614,publish,Bitunix Analyst Highlights Key Ethereum Support Levels,https://tokentopnews.com/ethereum-market-macro-optimism-key-support-levels/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
24159,publish,Bitunix Offers $910 USDT Bonus for No-KYC Signups,https://tokentopnews.com/bitunix-usdt-bonus-no-kyc-signup/,Cryptocurrency News,,Reclassify,insights,,insights,Manual review,Broad fallback; review manually,fallback-rule | manual-review-rule
